dataset,mode,seed,threshold,edge_count,edge_count_true,f1_directed,precision,recall,shd,violations,constraint_cells_changed,selected
synthetic_n2000,constrained,43,0.01,731,65,0.1030150753768844,0.0560875512995896,0.6307692307692307,714,0,0,
synthetic_n2000,constrained,43,0.02,534,65,0.1035058430717863,0.0580524344569288,0.4769230769230769,537,0,0,
synthetic_n2000,constrained,43,0.03,369,65,0.1152073732718893,0.067750677506775,0.3846153846153846,384,0,0,
synthetic_n2000,constrained,43,0.05,228,65,0.1638225255972696,0.1052631578947368,0.3692307692307692,245,0,0,
synthetic_n2000,constrained,43,0.075,145,65,0.1904761904761905,0.1379310344827586,0.3076923076923077,170,0,0,
synthetic_n2000,constrained,43,0.1,99,65,0.2195121951219512,0.1818181818181818,0.2769230769230769,128,0,0,
synthetic_n2000,constrained,43,0.15,75,65,0.2428571428571428,0.2266666666666666,0.2615384615384615,106,0,0,
synthetic_n2000,constrained,43,0.2,67,65,0.2272727272727272,0.2238805970149253,0.2307692307692307,102,0,0,
synthetic_n2000,constrained,43,0.25,62,65,0.2362204724409449,0.2419354838709677,0.2307692307692307,97,0,0,yes
synthetic_n2000,constrained,43,0.26,61,65,0.2380952380952381,0.2459016393442623,0.2307692307692307,96,0,0,
synthetic_n2000,constrained,43,0.27,60,65,0.24,0.25,0.2307692307692307,95,0,0,
synthetic_n2000,constrained,43,0.275,59,65,0.2419354838709677,0.2542372881355932,0.2307692307692307,94,0,0,
synthetic_n2000,constrained,43,0.28,58,65,0.2439024390243902,0.2586206896551724,0.2307692307692307,93,0,0,
synthetic_n2000,constrained,43,0.285,58,65,0.2439024390243902,0.2586206896551724,0.2307692307692307,93,0,0,
synthetic_n2000,constrained,43,0.3,57,65,0.2459016393442623,0.2631578947368421,0.2307692307692307,92,0,0,
synthetic_n2000,constrained,43,0.302,57,65,0.2459016393442623,0.2631578947368421,0.2307692307692307,92,0,0,
synthetic_n2000,constrained,43,0.304,57,65,0.2459016393442623,0.2631578947368421,0.2307692307692307,92,0,0,
synthetic_n2000,constrained,43,0.306,57,65,0.2459016393442623,0.2631578947368421,0.2307692307692307,92,0,0,
synthetic_n2000,constrained,43,0.308,57,65,0.2459016393442623,0.2631578947368421,0.2307692307692307,92,0,0,
synthetic_n2000,constrained,43,0.31,57,65,0.2459016393442623,0.2631578947368421,0.2307692307692307,92,0,0,
synthetic_n2000,constrained,43,0.312,57,65,0.2459016393442623,0.2631578947368421,0.2307692307692307,92,0,0,
synthetic_n2000,constrained,43,0.315,57,65,0.2459016393442623,0.2631578947368421,0.2307692307692307,92,0,0,
synthetic_n2000,constrained,43,0.32,57,65,0.2459016393442623,0.2631578947368421,0.2307692307692307,92,0,0,
synthetic_n2000,constrained,43,0.325,56,65,0.2314049586776859,0.25,0.2153846153846154,93,0,0,
synthetic_n2000,constrained,43,0.33,56,65,0.2314049586776859,0.25,0.2153846153846154,93,0,0,
synthetic_n2000,constrained,43,0.335,56,65,0.2314049586776859,0.25,0.2153846153846154,93,0,0,
synthetic_n2000,constrained,43,0.34,55,65,0.2166666666666666,0.2363636363636363,0.2,94,0,0,
synthetic_n2000,constrained,43,0.35,55,65,0.2166666666666666,0.2363636363636363,0.2,94,0,0,
synthetic_n2000,constrained,43,0.4,51,65,0.2068965517241379,0.2352941176470588,0.1846153846153846,92,0,0,
synthetic_n2000,constrained,43,0.5,48,65,0.2123893805309734,0.25,0.1846153846153846,89,0,0,
synthetic_n2000,constrained,44,0.001,943,65,0.117063492063492,0.0625662778366914,0.9076923076923076,890,0,0,
synthetic_n2000,constrained,44,0.005,857,65,0.1084598698481561,0.058343057176196,0.7692307692307693,822,0,0,
synthetic_n2000,constrained,44,0.01,722,65,0.0914866581956798,0.0498614958448753,0.5538461538461539,715,0,0,
synthetic_n2000,constrained,44,0.02,524,65,0.1052631578947368,0.0591603053435114,0.4769230769230769,527,0,0,
synthetic_n2000,constrained,44,0.03,403,65,0.1239316239316239,0.0719602977667493,0.4461538461538462,410,0,0,
synthetic_n2000,constrained,44,0.05,256,65,0.1495327102803738,0.09375,0.3692307692307692,273,0,0,
synthetic_n2000,constrained,44,0.075,162,65,0.1938325991189427,0.1358024691358024,0.3384615384615385,183,0,0,
synthetic_n2000,constrained,44,0.1,117,65,0.2307692307692307,0.1794871794871795,0.3230769230769231,140,0,0,
synthetic_n2000,constrained,44,0.15,76,65,0.2978723404255319,0.2763157894736842,0.3230769230769231,99,0,0,
synthetic_n2000,constrained,44,0.2,58,65,0.3089430894308943,0.3275862068965517,0.2923076923076923,85,0,0,
synthetic_n2000,constrained,44,0.25,54,65,0.319327731092437,0.3518518518518518,0.2923076923076923,81,0,0,yes
synthetic_n2000,constrained,44,0.26,54,65,0.319327731092437,0.3518518518518518,0.2923076923076923,81,0,0,
synthetic_n2000,constrained,44,0.27,54,65,0.319327731092437,0.3518518518518518,0.2923076923076923,81,0,0,
synthetic_n2000,constrained,44,0.275,54,65,0.319327731092437,0.3518518518518518,0.2923076923076923,81,0,0,
